delta_time,roll,pitch,yaw,label
132.306396484375,99.1,-25.8,-1591.3,gesture
219.3251953125,129.0,-39.9,-1549.6,gesture
307.4501953125,149.7,-15.3,-1578.2,gesture
394.941162109375,149.7,-15.3,-1578.2,gesture
482.099365234375,150.0,-50.6,-1598.9,gesture
569.617431640625,151.7,-17.3,-1606.2,gesture
656.9853515625,151.7,-12.9,-1606.8,gesture
744.612060546875,162.1,-67.1,-1592.7,gesture
832.30322265625,162.1,-67.1,-1592.7,gesture
919.26513671875,158.6,-71.2,-1606.9,gesture
1007.724853515625,161.2,-69.9,-1606.9,gesture
